in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,2.042458632439695e-10;,2.042458632439695e-10;
True,inf,0,1,0,False,False,False,1.0,2.842170943040401e-14;,2.5325641001865577e-12;
True,inf,0,1,0,False,False,False,1.0,1.4559018921847493e-12;,1.4559018921847493e-12;
True,inf,0,1,0,False,False,False,1.0,1.3093249480232742e-11;,1.3093249480232742e-11;
True,inf,0,1,0,False,False,False,1.0,6.821210263296962e-13;,6.821210263296962e-13;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,9.094947017729282e-13;
True,inf,0,1,0,False,False,False,1.0,6.431098710768743e-12;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,1.775845174940208e-12;,1.775845174940208e-12;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,0.0;,2.487846243928276e-11;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,7.279509460923746e-13;,7.279509460923746e-13;
True,inf,0,1,0,False,False,False,1.0,4.3033614249603973e-10;,4.3033614249603973e-10;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,1.016845989170083e-12;,1.016845989170083e-12;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,5.084229945850415e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,7.815970093361102e-14;,7.815970093361102e-14;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,1.5015272748404692e-11;,1.5015272748404692e-11;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,1.016845989170083e-12;,0.0;
True,inf,0,1,0,False,False,False,1.0,5.723641722702111e-10;,5.723641722702111e-10;
True,inf,0,1,0,False,False,False,1.0,7.46036036412459e-13;,7.46036036412459e-13;
True,inf,0,1,0,False,False,False,1.0,3.858659226461245e-12;,3.858659226461245e-12;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,1.8749713606747085e-12;,6.04880304610491e-10;
True,inf,0,1,0,False,False,False,1.0,6.431098710768743e-13;,9.094947017729282e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,2.7661201467245607e-12;,2.7661201467245607e-12;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,9.374856803373542e-13;,9.374856803373542e-13;
True,inf,0,1,0,False,False,False,1.0,1.0738201776363307e-09;,1.0738201776363307e-09;
True,inf,0,1,0,False,False,False,1.0,7.122807009940558e-11;,7.122807009940558e-11;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-12;,4.713001632342495e-11;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,9.977145478668445e-11;,2.0365181175620448e-11;
True,inf,0,1,0,False,False,False,1.0,1.7374405579936306e-09;,1.7374405579936306e-09;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,5.084229945850415e-13;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,3.784252152648432e-11;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,2.8050945753950393e-11;,2.8050945753950393e-11;
True,inf,0,1,0,False,False,False,1.0,8.87922587470104e-12;,8.87922587470104e-12;
True,inf,0,1,0,False,False,False,1.0,3.53347694475484e-13;,3.53347694475484e-13;
True,inf,0,1,0,False,False,False,1.0,1.8331451766013172e-12;,1.8331451766013172e-12;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,1.4210854715202004e-13;,1.4210854715202004e-13;
True,inf,0,1,0,False,False,False,1.0,4.0693694993695867e-13;,4.0693694993695867e-13;
True,inf,0,1,0,False,False,False,1.0,4.687428401686771e-13;,4.687428401686771e-13;
True,inf,0,1,0,False,False,False,1.0,6.431098710768743e-13;,6.431098710768743e-13;
True,inf,0,1,0,False,False,False,1.0,8.198074455012805e-13;,1.016845989170083e-12;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,5.084229945850415e-13;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,3.0212691549237007e-13;,3.0212691549237007e-13;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,5.084229945850415e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,5.697967974875459e-12;,5.697967974875459e-12;
True,inf,0,1,0,False,False,False,1.0,4.5315215569160676e-10;,4.5315215569160676e-10;
True,inf,0,1,0,False,False,False,1.0,2.4868995751603507e-13;,2.4868995751603507e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,9.165725883006586e-13;,1.639614891002561e-12;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,2.5421149729252077e-13;,2.5421149729252077e-13;
True,inf,0,1,0,False,False,False,1.0,1.8331451766013172e-12;,1.8331451766013172e-12;
True,inf,0,1,0,False,False,False,1.0,7.823769253302659e-12;,7.823769253302659e-12;
True,inf,0,1,0,False,False,False,1.0,3.2155493553843715e-13;,3.2155493553843715e-13;
True,inf,0,1,0,False,False,False,1.0,5.684341886080802e-14;,5.684341886080802e-14;
True,inf,0,1,0,False,False,False,1.0,1.2505552149377763e-12;,4.323464252094349e-12;
True,inf,0,1,0,False,False,False,1.0,2.0870129163410888e-12;,2.0870129163410888e-12;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,3.934225786131035e-12;,3.934225786131035e-12;
