num_sources,var,delete,k,consistency_thresh,method_thresh,prune,average_estimated_source_fraction,average_misassociated,average_misassociated_fraction,average_location_error,average_missed,average_missed_fraction,total_fail_fraction,no_association_fraction,false_association_fraction
1,0,0,4,1000,0.95,False,1,0,0,23.6211,0,0,0,0,0
2,0,0,4,1000,0.95,False,1,0.0533,0.0053,27.4702,0,0,0,0,0
3,0,0,4,1000,0.95,False,1,0.0933,0.0062,28.2138,0.0067,0.0004,0,0,0
4,0,0,4,1000,0.95,False,0.97,0.8467,0.0423,45.3291,0.6933,0.0347,0,0,0
5,0,0,4,1000,0.95,False,0.9187,2.2733,0.0909,85.2131,2.2333,0.0893,0,0,0
1,250,0,4,1000,0.95,False,1,0,0,35.9563,0.0133,0.0027,0,0,0
2,250,0,4,1000,0.95,False,1,0.0533,0.0053,43.7308,0.0667,0.0067,0,0,0
3,250,0,4,1000,0.95,False,0.9978,0.4467,0.0298,55.8189,0.2,0.0133,0,0,0
4,250,0,4,1000,0.95,False,0.955,1.4533,0.0727,78.469,1.1733,0.0587,0,0,0
5,250,0,4,1000,0.95,False,0.8613,4.0267,0.1611,169.7288,3.8733,0.1549,0,0,0
1,500,0,4,1000,0.95,False,1,0,0,42.624,0.0667,0.0133,0,0,0
2,500,0,4,1000,0.95,False,1,0.0933,0.0093,51.9747,0.1533,0.0153,0,0,0
3,500,0,4,1000,0.95,False,0.9956,0.54,0.036,88.0347,0.24,0.016,0,0,0
4,500,0,4,1000,0.95,False,0.9667,1.2067,0.0603,92.9472,0.98,0.049,0,0,0
5,500,0,4,1000,0.95,False,0.8813,3.6867,0.1475,142.4303,3.3867,0.1355,0,0,0
1,750,0,4,1000,0.95,False,1,0,0,57.3358,0.0533,0.0107,0,0,0
2,750,0,4,1000,0.95,False,1,0.0933,0.0093,58.7383,0.1467,0.0147,0,0,0
3,750,0,4,1000,0.95,False,0.9956,0.4467,0.0298,109.9335,0.2733,0.0182,0,0,0
4,750,0,4,1000,0.95,False,0.95,1.62,0.081,95.4372,1.3533,0.0677,0,0,0
5,750,0,4,1000,0.95,False,0.8507,4.2533,0.1701,229.4606,4.0667,0.1627,0,0,0
1,1000,0,4,1000,0.95,False,1,0,0,52.3549,0.06,0.012,0,0,0
2,1000,0,4,1000,0.95,False,1,0.0533,0.0053,67.1455,0.1533,0.0153,0,0,0
3,1000,0,4,1000,0.95,False,0.9956,0.4067,0.0271,72.824,0.3,0.02,0,0,0
4,1000,0,4,1000,0.95,False,0.9517,1.5,0.075,114.8305,1.3667,0.0683,0,0,0
5,1000,0,4,1000,0.95,False,0.8733,3.8533,0.1541,218.7514,3.5533,0.1421,0,0,0
1,1250,0,4,1000,0.95,False,1.0,0.0,0.0,59.2545,0.06,0.012,0.0,0.0,0.0
2,1250,0,4,1000,0.95,False,1.0,0.06,0.006,73.9375,0.1733,0.0173,0.0,0.0,0.0
3,1250,0,4,1000,0.95,False,0.9956,0.38,0.0253,81.898,0.3333,0.0222,0.0,0.0,0.0
4,1250,0,4,1000,0.95,False,0.9467,1.62,0.081,116.2984,1.46,0.073,0.0,0.0,0.0
5,1250,0,4,1000,0.95,False,0.8707,4.0467,0.1619,232.4528,3.64,0.1456,0.0,0.0,0.0
