num_sources,var,delete,k,consistency_thresh,method_thresh,prune,average_estimated_source_fraction,average_misassociated,average_misassociated_fraction,average_location_error,average_missed,average_missed_fraction,total_fail_fraction,no_association_fraction,false_association_fraction
1,0,1,4,1000,0.95,False,1.0,0.0,0.0,26.0498,0.0,0.0,0.0,0.0,0.0
2,0,1,4,1000,0.95,False,1.0,0.0867,0.0098,33.0583,0.0,0.0,0.0,0.0,0.0
3,0,1,4,1000,0.95,False,0.9733,0.5,0.0375,55.0097,0.3667,0.0273,0.0,0.0,0.0
4,0,1,4,1000,0.95,False,0.9117,1.8733,0.1058,194.6383,1.3267,0.0747,0.0,0.0,0.0
5,0,1,4,1000,0.95,False,0.8307,4.2067,0.1887,284.5702,3.32,0.1481,0.0,0.0,0.0
1,250,1,4,1000,0.95,False,1.0,0.0,0.0,40.4182,0.0606,0.0121,0.0,0.12,0.0
2,250,1,4,1000,0.95,False,0.9161,0.8591,0.1011,201.4262,0.7248,0.0854,0.0,0.0067,0.0
3,250,1,4,1000,0.95,False,0.9089,1.58,0.1189,59.6077,1.18,0.0897,0.0,0.0,0.0
4,250,1,4,1000,0.95,False,0.8583,3.0467,0.1716,491.8718,2.36,0.1324,0.0,0.0,0.0
5,250,1,4,1000,0.95,False,0.7893,5.5667,0.2488,524.8153,4.2333,0.1886,0.0,0.0,0.0
1,500,1,4,1000,0.95,False,1.0,0.0,0.0,46.6179,0.0526,0.0105,0.0,0.1133,0.0
2,500,1,4,1000,0.95,False,0.9054,0.9662,0.1134,177.4433,0.8716,0.1026,0.0,0.0133,0.0
3,500,1,4,1000,0.95,False,0.8933,1.7067,0.1308,150.5571,1.3533,0.1043,0.0,0.0,0.0
4,500,1,4,1000,0.95,False,0.85,2.9933,0.1696,319.2874,2.4667,0.1396,0.0,0.0,0.0
5,500,1,4,1000,0.95,False,0.78,5.5867,0.2494,406.772,4.3867,0.1958,0.0,0.0,0.0
1,750,1,4,1000,0.95,False,1.0,0.0,0.0,55.2441,0.0469,0.0094,0.0,0.1467,0.0
2,750,1,4,1000,0.95,False,0.9033,0.9733,0.113,143.1189,0.8933,0.1035,0.0,0.0,0.0
3,750,1,4,1000,0.95,False,0.8889,1.78,0.1354,211.6093,1.4333,0.1094,0.0,0.0,0.0
4,750,1,4,1000,0.95,False,0.8567,3.0667,0.1718,512.0486,2.4067,0.135,0.0,0.0,0.0
5,750,1,4,1000,0.95,False,0.7947,5.2,0.2324,485.5689,4.24,0.1892,0.0,0.0,0.0
1,1000,1,4,1000,0.95,False,1.0,0.0,0.0,62.758,0.0444,0.0089,0.0,0.1,0.0
2,1000,1,4,1000,0.95,False,0.9048,1.0068,0.1176,212.6269,0.8231,0.0964,0.0,0.02,0.0
3,1000,1,4,1000,0.95,False,0.8822,1.9067,0.1455,208.6535,1.4867,0.1135,0.0,0.0,0.0
4,1000,1,4,1000,0.95,False,0.85,3.12,0.1766,456.2182,2.56,0.1446,0.0,0.0,0.0
5,1000,1,4,1000,0.95,False,0.7893,5.4467,0.2422,344.7387,4.42,0.1961,0.0,0.0,0.0
1,1250,1,4,1000,0.95,False,1.0,0.0,0.0,67.6858,0.0615,0.0123,0.0,0.1333,0.0
2,1250,1,4,1000,0.95,False,0.8885,1.2027,0.1383,138.0906,0.9662,0.1115,0.0067,0.0067,0.0
3,1250,1,4,1000,0.95,False,0.9044,1.6667,0.1274,184.5443,1.2933,0.0992,0.0,0.0,0.0
4,1250,1,4,1000,0.95,False,0.85,3.1133,0.176,425.8215,2.62,0.1476,0.0,0.0,0.0
5,1250,1,4,1000,0.95,False,0.7933,5.5867,0.251,536.9033,3.9933,0.1788,0.0,0.0,0.0
