in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,0.5,0,1,0,False,False,False,1.0,1.1504299109832135e-11;,1.1504299109832135e-11;
True,0.5,0,1,0,False,False,False,1.0,5.1448789686149945e-12;,5.1448789686149945e-12;
True,0.5,0,1,0,False,False,False,1.0,1.747082270621699e-11;,1.747082270621699e-11;
True,0.5,0,1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-13;
True,0.5,0,1,0,False,False,False,1.0,1.324244274525066e-11;,1.324244274525066e-11;
True,0.5,0,1,0,False,False,False,1.0,5.303219854654618e-12;,5.303219854654618e-12;
True,0.5,0,1,0,False,False,False,1.0,1.1504299109832135e-11;,1.1504299109832135e-11;
True,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
True,0.5,0,1,0,False,False,False,1.0,9.837689346015367e-12;,9.837689346015367e-12;
True,0.5,0,1,0,False,False,False,1.0,7.448006433223417e-12;,7.448006433223417e-12;
True,0.5,0,1,0,False,False,False,1.0,9.275062463698822e-12;,9.275062463698822e-12;
True,0.5,0,1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-13;
True,0.5,0,1,0,False,False,False,1.0,1.626953582672133e-11;,1.626953582672133e-11;
True,0.5,0,1,0,False,False,False,1.0,7.744068337127102e-12;,7.744068337127102e-12;
True,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
True,0.5,0,1,0,False,False,False,1.0,9.795557720525728e-12;,9.795557720525728e-12;
True,0.5,0,1,0,False,False,False,1.0,8.580155856231252e-12;,8.580155856231252e-12;
True,0.5,0,1,0,False,False,False,1.0,8.6282243323741e-12;,8.6282243323741e-12;
True,0.5,0,1,0,False,False,False,1.0,1.1647215137477994e-11;,1.1647215137477994e-11;
True,0.5,0,1,0,False,False,False,1.0,9.837689346015367e-12;,9.837689346015367e-12;
True,0.5,0,1,0,False,False,False,1.0,8.385126836667848e-12;,8.385126836667848e-12;
True,0.5,0,1,0,False,False,False,1.0,3.6662903532026344e-12;,3.6662903532026344e-12;
True,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
True,0.5,0,1,0,False,False,False,1.0,1.324244274525066e-11;,1.324244274525066e-11;
True,0.5,0,1,0,False,False,False,1.0,6.366462912410498e-12;,6.366462912410498e-12;
True,0.5,0,1,0,False,False,False,1.0,5.697967974875459e-12;,5.697967974875459e-12;
True,0.5,0,1,0,False,False,False,1.0,6.1852326820078106e-12;,6.1852326820078106e-12;
True,0.5,0,1,0,False,False,False,1.0,9.795557720525728e-12;,9.795557720525728e-12;
True,0.5,0,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
