in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,0.5,6,1,0,False,False,False,1.0,1.1395935949750917e-11;,1.1395935949750917e-11;
True,0.5,6,1,0,False,False,False,1.0,6.760305380939147e-12;,6.760305380939147e-12;
True,0.5,6,1,0,False,False,False,1.0,2.2737367544323206e-12;,2.2737367544323206e-12;
True,0.5,6,1,0,False,False,False,1.0,3.011306604301954e-11;,3.011306604301954e-11;
True,0.5,6,1,0,False,False,False,1.0,4.897778860262864e-12;,4.897778860262864e-12;
True,0.5,6,1,0,False,False,False,1.0,1.7938039421384038e-11;,1.7938039421384038e-11;
True,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
True,0.5,6,1,0,False,False,False,1.0,1.324244274525066e-11;,1.324244274525066e-11;
True,0.5,6,1,0,False,False,False,1.0,5.1223206684257905e-11;,5.1223206684257905e-11;
True,0.5,6,1,0,False,False,False,1.0,1.1647215137477994e-11;,1.1647215137477994e-11;
True,0.5,6,1,0,False,False,False,1.0,5.624914082024125e-12;,5.624914082024125e-12;
True,0.5,6,1,0,False,False,False,1.0,5.109587858497487e-12;,5.109587858497487e-12;
True,0.5,6,1,0,False,False,False,1.0,2.737941617577302e-11;,2.737941617577302e-11;
True,0.5,6,1,0,False,False,False,1.0,1.8661271068306808e-11;,1.8661271068306808e-11;
True,0.5,6,1,0,False,False,False,1.0,1.1647215137477994e-11;,1.1647215137477994e-11;
True,0.5,6,1,0,False,False,False,1.0,8.185452315956354e-12;,8.185452315956354e-12;
True,0.5,6,1,0,False,False,False,1.0,5.208792959193071e-11;,5.208792959193071e-11;
True,0.5,6,1,0,False,False,False,1.0,0.0;,0.0;
True,0.5,6,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
True,0.5,6,1,0,False,False,False,1.0,9.275062463698822e-12;,9.275062463698822e-12;
True,0.5,6,1,0,False,False,False,1.0,1.1395935949750917e-11;,1.1395935949750917e-11;
True,0.5,6,1,0,False,False,False,1.0,1.2862197421537486e-11;,1.2862197421537486e-11;
True,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
True,0.5,6,1,0,False,False,False,1.0,3.865352482534945e-12;,3.865352482534945e-12;
True,0.5,6,1,0,False,False,False,1.0,7.103380699760832e-12;,7.103380699760832e-12;
True,0.5,6,1,0,False,False,False,1.0,3.310610686312665e-12;,3.310610686312665e-12;
True,0.5,6,1,0,False,False,False,1.0,3.327122562739595e-11;,3.327122562739595e-11;
True,0.5,6,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
True,0.5,6,1,0,False,False,False,1.0,2.2737367544323206e-12;,2.2737367544323206e-12;
True,0.5,6,1,0,False,False,False,1.0,1.6471649611298594e-11;,1.6471649611298594e-11;
True,0.5,6,1,0,False,False,False,1.0,1.3882834102763579e-11;,1.3882834102763579e-11;
True,0.5,6,1,0,False,False,False,1.0,1.9293296132306226e-12;,1.9293296132306226e-12;
True,0.5,6,1,0,False,False,False,1.0,1.4380373887290168e-12;,1.4380373887290168e-12;
True,0.5,6,1,0,False,False,False,1.0,1.0219175716994974e-11;,1.0219175716994974e-11;
True,0.5,6,1,0,False,False,False,1.0,9.106308604942018e-12;,9.106308604942018e-12;
True,0.5,6,1,0,False,False,False,1.0,1.1504299109832135e-11;,1.1504299109832135e-11;
True,0.5,6,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
True,0.5,6,1,0,False,False,False,1.0,1.9426815345735873e-12;,1.9426815345735873e-12;
True,0.5,6,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
True,0.5,6,1,0,False,False,False,1.0,2.2791871899501835e-11;,2.2791871899501835e-11;
True,0.5,6,1,0,False,False,False,1.0,5.616866168127501e-12;,5.616866168127501e-12;
True,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-12;,1.8189894035458565e-12;
True,0.5,6,1,0,False,False,False,1.0,3.310610686312665e-12;,3.310610686312665e-12;
True,0.5,6,1,0,False,False,False,1.0,2.2737367544323206e-12;,2.2737367544323206e-12;
True,0.5,6,1,0,False,False,False,1.0,1.016845989170083e-12;,1.016845989170083e-12;
True,0.5,6,1,0,False,False,False,1.0,9.837689346015367e-12;,9.837689346015367e-12;
