in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
False,0.5,0,1,0,False,False,False,1.0,1.0951766470309208e-11;,1.0951766470309208e-11;
False,0.5,0,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,0,1,0,False,False,False,1.0,9.795557720525728e-12;,9.795557720525728e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8550124927397645e-11;,1.8550124927397645e-11;
False,0.5,0,1,0,False,False,False,1.0,1.1823431123048067e-11;,1.1823431123048067e-11;
False,0.5,0,1,0,False,False,False,1.0,7.77072613829435e-12;,7.77072613829435e-12;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,2.121287941861847e-11;,2.121287941861847e-11;
False,0.5,0,1,0,False,False,False,1.0,8.580155856231252e-12;,8.580155856231252e-12;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8550124927397645e-11;,1.8550124927397645e-11;
False,0.5,0,1,0,False,False,False,1.0,1.543463690584498e-11;,1.543463690584498e-11;
False,0.5,0,1,0,False,False,False,1.0,5.4569682106375694e-12;,5.4569682106375694e-12;
False,0.5,0,1,0,False,False,False,1.0,5.823607568738997e-12;,5.823607568738997e-12;
False,0.5,0,1,0,False,False,False,1.0,3.5876078842768076e-11;,3.5876078842768076e-11;
False,0.5,0,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,0,1,0,False,False,False,1.0,1.3882834102763579e-11;,1.3882834102763579e-11;
False,0.5,0,1,0,False,False,False,1.0,1.2202151870040997e-11;,1.2202151870040997e-11;
False,0.5,0,1,0,False,False,False,1.0,1.9946776046218755e-11;,1.9946776046218755e-11;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,1.0606439709309235e-11;,1.0606439709309235e-11;
False,0.5,0,1,0,False,False,False,1.0,1.5883642114725243e-11;,1.5883642114725243e-11;
False,0.5,0,1,0,False,False,False,1.0,1.0289757937229989e-11;,1.0289757937229989e-11;
False,0.5,0,1,0,False,False,False,1.0,1.6471649611298594e-11;,1.6471649611298594e-11;
