in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
False,0.5,6,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,6,1,0,False,False,False,1.0,1.4580309236299762e-11;,1.4580309236299762e-11;
False,0.5,6,1,0,False,False,False,1.0,5.823607568738997e-11;,5.823607568738997e-11;
False,0.5,6,1,0,False,False,False,1.0,1.0289757937229989e-11;,1.0289757937229989e-11;
False,0.5,6,1,0,False,False,False,1.0,2.21476432887101e-11;,2.21476432887101e-11;
False,0.5,6,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,6,1,0,False,False,False,1.0,1.6090603833576217e-11;,1.6090603833576217e-11;
False,0.5,6,1,0,False,False,False,1.0,9.390285048823212e-11;,9.390285048823212e-11;
False,0.5,6,1,0,False,False,False,1.0,3.1295077013210636e-11;,3.1295077013210636e-11;
False,0.5,6,1,0,False,False,False,1.0,2.1903532940618417e-11;,2.1903532940618417e-11;
False,0.5,6,1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-13;
False,0.5,6,1,0,False,False,False,1.0,2.6233838256040975e-11;,2.6233838256040975e-11;
False,0.5,6,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,6,1,0,False,False,False,1.0,1.124982816404825e-11;,1.124982816404825e-11;
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,2.8413522799043327e-11;,2.8413522799043327e-11;
False,0.5,6,1,0,False,False,False,1.0,1.7659192816561335e-11;,1.7659192816561335e-11;
False,0.5,6,1,0,False,False,False,1.0,6.366462912410498e-12;,6.366462912410498e-12;
False,0.5,6,1,0,False,False,False,1.0,2.5724394843074972e-12;,2.5724394843074972e-12;
False,0.5,6,1,0,False,False,False,1.0,2.8760747774580336e-12;,2.8760747774580336e-12;
False,0.5,6,1,0,False,False,False,1.0,2.1846812432094e-11;,2.1846812432094e-11;
False,0.5,6,1,0,False,False,False,1.0,7.276526026169308e-11;,7.276526026169308e-11;
False,0.5,6,1,0,False,False,False,1.0,3.45128973294964e-11;,3.45128973294964e-11;
False,0.5,6,1,0,False,False,False,1.0,2.6043964795965355e-11;,2.6043964795965355e-11;
False,0.5,6,1,0,False,False,False,1.0,2.1827872842550278e-11;,2.1827872842550278e-11;
False,0.5,6,1,0,False,False,False,1.0,4.441650324979411e-11;,4.441650324979411e-11;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,6,1,0,False,False,False,1.0,1.2202151870040997e-11;,1.2202151870040997e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,6,1,0,False,False,False,1.0,5.5680094610630355e-11;,5.5680094610630355e-11;
False,0.5,6,1,0,False,False,False,1.0,3.10829045531774e-11;,3.10829045531774e-11;
False,0.5,6,1,0,False,False,False,1.0,1.1504299109832135e-11;,1.1504299109832135e-11;
False,0.5,6,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,6,1,0,False,False,False,1.0,3.279229782005122e-12;,3.279229782005122e-12;
False,0.5,6,1,0,False,False,False,1.0,1.1395935949750917e-11;,1.1395935949750917e-11;
False,0.5,6,1,0,False,False,False,1.0,1.0289757937229989e-11;,1.0289757937229989e-11;
False,0.5,6,1,0,False,False,False,1.0,5.1448789686149945e-12;,5.1448789686149945e-12;
False,0.5,6,1,0,False,False,False,1.0,3.238618558455502e-11;,3.238618558455502e-11;
False,0.5,6,1,0,False,False,False,1.0,2.7284841053187847e-12;,2.7284841053187847e-12;
False,0.5,6,1,0,False,False,False,1.0,2.5724394843074972e-12;,2.5724394843074972e-12;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,1.0913936421275139e-11;,1.0913936421275139e-11;
False,0.5,6,1,0,False,False,False,1.0,5.4569682106375694e-12;,5.4569682106375694e-12;
False,0.5,6,1,0,False,False,False,1.0,2.0579515874459978e-11;,2.0579515874459978e-11;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,1.0606439709309235e-11;,1.0606439709309235e-11;
False,0.5,6,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,6,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,6,1,0,False,False,False,1.0,1.55414522765887e-11;,1.55414522765887e-11;
False,0.5,6,1,0,False,False,False,1.0,3.253907165344266e-11;,3.253907165344266e-11;
False,0.5,6,1,0,False,False,False,1.0,1.9591115441051456e-11;,1.9591115441051456e-11;
False,0.5,6,1,0,False,False,False,1.0,1.4999770885397668e-11;,1.4999770885397668e-11;
False,0.5,6,1,0,False,False,False,1.0,2.6233838256040975e-11;,2.6233838256040975e-11;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,2.5724394843074972e-12;,2.5724394843074972e-12;
False,0.5,6,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,3.1767284229450486e-11;,3.1767284229450486e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,6,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
