num_sources,var,delete,k,consistency_thresh,method_thresh,prune,average_estimated_source_fraction,average_misassociated,average_misassociated_fraction,average_location_error,average_missed,average_missed_fraction,total_fail_fraction,no_association_fraction,false_association_fraction,grid,adaptive,adaptive_max,threshold_delta
1,0,0,4,1000,0.95,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,5000.0,500.0
2,0,0,4,1000,0.95,False,1.0,0.0267,0.0027,2.2465,0.0,0.0,0.0,0.0,0.0,False,False,5000.0,500.0
3,0,0,4,1000,0.95,False,0.9933,0.22,0.0147,9.6169,0.1067,0.0071,0.0,0.0,0.0,False,False,5000.0,500.0
4,0,0,4,1000,0.95,False,0.9817,0.5533,0.0277,18.1593,0.38,0.019,0.0,0.0,0.0,False,False,5000.0,500.0
5,0,0,4,1000,0.95,False,0.92,2.3467,0.0939,110.714,2.2667,0.0907,0.0,0.0,0.0,False,False,5000.0,500.0
1,250,0,4,1000,0.95,False,1.0,0.0,0.0,45.3026,0.0467,0.0093,0.0,0.0,0.0,False,False,5000.0,500.0
2,250,0,4,1000,0.95,False,1.0,0.1867,0.0187,57.6857,0.0667,0.0067,0.0,0.0,0.0,False,False,5000.0,500.0
3,250,0,4,1000,0.95,False,1.0,0.3933,0.0262,68.0684,0.16,0.0107,0.0,0.0,0.0,False,False,5000.0,500.0
4,250,0,4,1000,0.95,False,0.955,1.94,0.097,155.6368,1.1533,0.0577,0.0,0.0,0.0,False,False,5000.0,500.0
5,250,0,4,1000,0.95,False,0.892,3.56,0.1424,223.8204,3.08,0.1232,0.0,0.0,0.0,False,False,5000.0,500.0
1,500,0,4,1000,0.95,False,1.0,0.0,0.0,59.8794,0.02,0.004,0.0,0.0,0.0,False,False,5000.0,500.0
2,500,0,4,1000,0.95,False,1.0,0.2819,0.0282,77.6344,0.0805,0.0081,0.0067,0.0,0.0,False,False,5000.0,500.0
3,500,0,4,1000,0.95,False,0.9956,0.62,0.0413,98.8044,0.1867,0.0124,0.0,0.0,0.0,False,False,5000.0,500.0
4,500,0,4,1000,0.95,False,0.95,1.7733,0.0887,137.8482,1.2067,0.0603,0.0,0.0,0.0,False,False,5000.0,500.0
5,500,0,4,1000,0.95,False,0.8493,4.5067,0.1803,274.8159,4.12,0.1648,0.0,0.0,0.0,False,False,5000.0,500.0
1,750,0,4,1000,0.95,False,1.0,0.0,0.0,70.76,0.0467,0.0093,0.0,0.0,0.0,False,False,5000.0,500.0
2,750,0,4,1000,0.95,False,1.0,0.1333,0.0133,86.9416,0.08,0.008,0.0,0.0,0.0,False,False,5000.0,500.0
3,750,0,4,1000,0.95,False,0.9978,0.5133,0.0342,98.8086,0.1933,0.0129,0.0,0.0,0.0,False,False,5000.0,500.0
4,750,0,4,1000,0.95,False,0.9633,1.3667,0.0683,149.1739,0.94,0.047,0.0,0.0,0.0,False,False,5000.0,500.0
5,750,0,4,1000,0.95,False,0.8747,3.8667,0.1547,206.6874,3.42,0.1368,0.0,0.0,0.0,False,False,5000.0,500.0
1,1000,0,4,1000,0.95,False,1.0,0.0,0.0,75.4792,0.04,0.008,0.0,0.0,0.0,False,False,5000.0,500.0
2,1000,0,4,1000,0.95,False,1.0,0.2533,0.0253,101.7974,0.0867,0.0087,0.0,0.0,0.0,False,False,5000.0,500.0
3,1000,0,4,1000,0.95,False,0.9933,0.5533,0.0369,114.1488,0.28,0.0187,0.0,0.0,0.0,False,False,5000.0,500.0
4,1000,0,4,1000,0.95,False,0.9517,1.8333,0.0917,167.9574,1.1467,0.0573,0.0,0.0,0.0,False,False,5000.0,500.0
5,1000,0,4,1000,0.95,False,0.8707,4.0933,0.1637,247.6658,3.64,0.1456,0.0,0.0,0.0,False,False,5000.0,500.0
1,1250,0,4,1000,0.95,False,1.0,0.0,0.0,82.2402,0.0467,0.0093,0.0,0.0,0.0,False,False,5000.0,500.0
2,1250,0,4,1000,0.95,False,1.0,0.12,0.012,103.5606,0.08,0.008,0.0,0.0,0.0,False,False,5000.0,500.0
3,1250,0,4,1000,0.95,False,0.9956,0.4533,0.0302,119.5176,0.2067,0.0138,0.0,0.0,0.0,False,False,5000.0,500.0
4,1250,0,4,1000,0.95,False,0.9667,1.5,0.075,152.8917,0.8667,0.0433,0.0,0.0,0.0,False,False,5000.0,500.0
5,1250,0,4,1000,0.95,False,0.8653,4.3333,0.1733,285.0111,3.8,0.152,0.0,0.0,0.0,False,False,5000.0,500.0
