method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,1,0,False,False,False,1.0,1.3648222058698806e-11,,,,1.3648222058698806e-11,,,
inf,1,0,False,False,False,1.0,8.810729923425242e-13,,,,8.810729923425242e-13,,,
inf,1,0,False,False,False,1.0,2.187548648736749e-12,,,,2.187548648736749e-12,,,
inf,1,0,False,False,False,1.0,3.410605131648481e-13,,,,3.410605131648481e-13,,,
inf,1,0,False,False,False,1.0,5.115907697472721e-13,,,,5.115907697472721e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,4.547473508864641e-13,,,,4.547473508864641e-13,,,
inf,1,0,False,False,False,1.0,7.958078640513122e-13,,,,7.958078640513122e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,1.1368683772161603e-13,,,,1.1368683772161603e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,3.410605131648481e-13,,,,3.410605131648481e-13,,,
inf,1,0,False,False,False,1.0,1.1368683772161603e-13,,,,1.1368683772161603e-13,,,
inf,1,0,False,False,False,1.0,3.410605131648481e-13,,,,3.410605131648481e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,4.547473508864641e-13,,,,4.547473508864641e-13,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,2.2737367544323206e-13,,,,2.2737367544323206e-13,,,
inf,1,0,False,False,False,1.0,4.547473508864641e-13,,,,4.547473508864641e-13,,,
inf,1,0,False,False,False,1.0,0.0,,,,0.0,,,
inf,1,0,False,False,False,1.0,4.547473508864641e-13,,,,4.547473508864641e-13,,,
