,,over_predict_sources,FN,FP,percent_possible_detections,percent_possible_detections,percent_possible_detections,percent_possible_detections,loc_error_0,loc_error_0,loc_error_1,loc_error_1,loc_error_2,loc_error_2,loc_error_3,loc_error_3,best_loc_error_0,best_loc_error_0,best_loc_error_1,best_loc_error_1,best_loc_error_2,best_loc_error_2,best_loc_error_3,best_loc_error_3
,,mean,mean,mean,mean,std,perc10,cdf1,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
std,num_sources,,,,,,,,,,,,,,,,,,,,,,,
0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.68128119398938e-13,2.1650690181976895e-12,,,,,,,6.68128119398938e-13,2.1650690181976895e-12,,,,,,
0,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.235881898287159e-13,3.361375973006766e-13,5.16563186394391e-11,2.0747137553335123e-10,,,,,3.18894018377051e-13,3.7761612307133404e-13,8.532479741252505e-11,3.6598716904730254e-10,,,,
0,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.9006286841713067e-11,7.95839532488204e-11,4.371005870769504e-11,1.4042398790585774e-10,5.784062561749021e-11,2.513081503055133e-10,,,7.495562932362383e-11,1.7526796546834919e-10,4.442543967451666e-11,1.4167910713614822e-10,5.64102850561158e-11,2.4720232080562473e-10,,
0,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.143997792381694e-11,2.3493688399630995e-10,3.348537175157063e-11,1.423703722841925e-10,3.88677051131182e-11,1.4248311203748986e-10,5.340415803800695e-11,1.4799007300809632e-10,7.89751350364108e-11,2.424064680739061e-10,3.237194534078561e-11,1.3477309012223191e-10,3.928233507853233e-11,1.390556122848978e-10,3.992716240368964e-11,9.509186381463287e-11
15,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.64257436814932,3.767294706771471,,,,,,,5.64257436814932,3.767294706771471,,,,,,
15,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.965044421164445,3.6982777420691466,6.652302129795316,3.2329100383745444,,,,,6.754922287490011,3.7680341393370465,6.731180064868781,3.2441747735826176,,,,
15,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.247795708218649,3.4793915624085616,6.871989291922086,3.4731240982112337,7.598127335045279,3.6149405239081633,,,6.194165298435684,3.4230722812865815,6.782705668969479,3.5291992414137376,7.610749537074059,3.6074868389027888,,
15,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.471060671637801,3.8725131816320553,6.395300605062584,3.325809195448325,6.810901029531918,4.1513369560549105,7.064587268617959,3.0398100671423225,6.428706817478199,3.6119124876554194,6.355265550476407,3.304626180019157,6.821991805041391,4.170945816406216,7.055769306770179,3.118214261568516
30,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.431709548177095,10.867561206940804,,,,,,,11.282230785076713,7.528044271572998,,,,,,
30,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.534655696671905,7.483926520674466,13.69058959013364,6.501171857559323,,,,,13.211747270825615,7.5085046045469985,13.771398889097236,6.512693713408707,,,,
30,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.187338119374628,6.90378732827757,13.735852874291279,7.208744712942254,15.500900666795378,7.2779508801808905,,,12.190348932811514,6.9089855752696785,13.580168900483832,7.066444677586709,15.405423930760838,7.059218508523936,,
30,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.46641769766731,7.523065050414473,11.283874800572354,6.225031852988925,13.883599569626885,7.340409621851141,14.844383262115887,7.487884524299066,13.43074950664525,7.1032610927531925,11.244194252183165,6.14945275359741,13.861767839236197,7.307375186167503,14.77960508485811,7.5567346564063005
660,1,0.0,0.10256410256410256,0.0,1.0,0.0,1.0,1.0,577.4120243773737,276.2174539382261,,,,,,,245.0678563353263,158.60783082735998,,,,,,
660,2,0.05,0.0,0.0,1.0,0.0,1.0,1.0,444.10836012802963,354.4824968710971,395.8563074261173,244.9596878979724,,,,,328.6836692380714,189.5906595459348,299.6234540920559,130.33542840735515,,,,
660,3,0.075,0.0,0.0,0.990990990990991,0.05479966243511914,1.0,0.972972972972973,485.50680152250953,357.53445024585744,341.9083449823905,192.26230134706142,445.84760068599036,318.4889425623803,,,307.3741232040579,166.4411537931037,291.40234204956874,143.6076305378938,314.90370206680586,161.26212262005245,,
660,4,0.07317073170731707,0.0,0.0,0.9210526315789473,0.1177672802190189,0.75,0.6842105263157895,625.9242423984657,470.4657563540801,618.3737840814607,442.67961573616026,667.3500987799501,706.8468945524097,408.3023041981895,219.29820578572577,280.2814438959694,162.8260436563242,319.17906222280646,163.10062141124118,295.9484013687728,157.50579248377255,299.1369544767011,167.64163773996327
