method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,1,4.547473508864641e-13,5.97574183189759e-10,2.3437142008433856e-13,0.0,4.547473508864641e-13,6.639235401503648e-10,1.1368683772161603e-13,0.0
inf,4,0,False,False,False,1.0,1,0.0,1.0987734940585552e-09,3.979039320256561e-13,0.0,0.0,1.0987734940585552e-09,4.547473508864641e-13,0.0
inf,4,0,False,False,False,1.0,1,1.2862197421537486e-12,2.366243440178761e-11,5.684341886080801e-13,9.094947017729282e-13,1.4380373887290168e-12,1.768296344626985e-11,5.684341886080801e-13,1.016845989170083e-12
inf,4,0,False,False,False,1.0,1,6.431098710768743e-13,2.2737367544323206e-13,1.7053025658242404e-13,0.0,1.2862197421537486e-12,2.2737367544323206e-13,4.547473508864641e-13,0.0
inf,4,0,False,False,False,1.0,1,1.016845989170083e-12,1.3382249535027005e-11,4.263256414560601e-13,4.547473508864641e-13,1.016845989170083e-12,1.6753289873839682e-11,4.62671908852022e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1,2.0319880474882245e-10,3.1913416131870233e-12,8.526512829121202e-14,0.0,2.070738887177159e-10,1.7053025658242404e-12,1.7053025658242404e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,4.547473508864641e-12,3.410605131648481e-13,5.684341886080801e-13,4.547473508864641e-13,3.6662903532026344e-12,1.1368683772161603e-13,2.5579538487363607e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,4.2433410771422113e-10,1.1368683772161603e-13,4.62671908852022e-13,0.0,4.2433410771422113e-10,1.1368683772161603e-13,5.684341886080801e-13,0.0
inf,4,0,False,False,False,1.0,1,7.103380699760832e-12,2.8421709430404007e-13,7.958078640513122e-13,0.0,5.322681277320783e-12,5.684341886080801e-13,9.165725883006586e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,6.9414170513817895e-12,3.410605131648481e-13,1.1303419608470556e-11,1.016845989170083e-12,1.0498657848634317e-11,6.252776074688882e-13,1.2165495983431753e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1,1.3860472476270089e-11,4.547473508864641e-13,1.1991974389383006e-12,9.094947017729282e-13,1.4665161412810538e-11,0.0,1.0373923942097463e-12,0.0
inf,4,0,False,False,False,1.0,1,3.3862650873073043e-11,2.2737367544323206e-13,2.427853306419312e-11,0.0,4.060259795651239e-11,4.687428401686771e-13,2.3842108769898023e-11,0.0
inf,4,0,False,False,False,1.0,1,4.547473508864641e-13,3.979039320256561e-13,5.576674189959833e-12,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,5.5904543371239006e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,6.332918126711694e-11,3.979039320256561e-13,8.384479550988929e-12,0.0,7.027575575721582e-11,1.9895196601282805e-13,1.1870351697315946e-11,0.0
inf,4,0,False,False,False,1.0,1,1.0232219606828623e-10,5.217532290852722e-13,1.91566933913774e-11,4.547473508864641e-13,1.0163781323832427e-10,4.556346636343676e-13,3.0687463105787646e-11,0.0
