,,,over_predict_sources,FN,FP,percent_possible_detections,percent_possible_detections,percent_possible_detections,percent_possible_detections,loc_error_0,loc_error_0,loc_error_1,loc_error_1,loc_error_2,loc_error_2,loc_error_3,loc_error_3,best_loc_error_0,best_loc_error_0,best_loc_error_1,best_loc_error_1,best_loc_error_2,best_loc_error_2,best_loc_error_3,best_loc_error_3
,,,mean,mean,mean,mean,std,perc10,cdf1,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
std,num_sources,n_delete,,,,,,,,,,,,,,,,,,,,,,,
0,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.218849747288302e-11,1.1147376329756902e-10,5.020195250005925e-11,1.8877228756751517e-10,3.9560104817003505e-11,1.1879763509694485e-10,3.245139791302204e-11,1.3973574864607288e-10,4.1984440144441203e-11,1.0965256026432791e-10,4.6851482287413786e-11,1.852916715647944e-10,4.960223974952642e-11,1.522857099002446e-10,3.238886574692674e-11,1.3888730291469123e-10
0,4,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.166585140984898e-10,3.448058639940333e-10,5.907316229210611e-11,2.1398531172437063e-10,3.3768395586834743e-11,9.105080076479885e-11,1.7272514467813662e-11,7.397387514433167e-11,1.1703697065324013e-10,3.4448089548615575e-10,5.78838311741084e-11,2.1318936786641347e-10,6.986422725589457e-11,2.553935129169391e-10,1.731088132430426e-11,7.357364332599958e-11
0,4,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.956298482826068e-11,2.073371772465987e-10,8.705750967315626e-11,3.5180779132138316e-10,8.142293016181099e-11,3.0106678753829235e-10,6.971124011090053e-11,2.6439299696407606e-10,7.564295910563097e-11,1.9854992963375335e-10,8.688725437288401e-11,3.450553985408814e-10,5.717649740120201e-11,2.3060212256951978e-10,4.342041486234732e-11,1.919373231004577e-10
15,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.888112193334216,4.069841125133403,7.137459789658139,4.114822665038913,7.679840706632485,3.667222142562556,6.595981775030168,4.861408316679896,6.912078191915808,4.084839055428976,7.020855916879281,4.07165510725518,7.594534762907438,3.8990756081073075,6.524997634745772,4.895969328982653
15,4,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.9735001453965495,4.094207576507682,7.1599631665829735,3.9039972856498233,7.551044163086799,3.9619025758828457,7.084920219382522,4.158005698073884,7.006867082011452,4.113027811804475,7.1651513644887,4.356944376577752,7.486705707466532,3.9912660518141383,6.9699536506581685,4.291195889917757
15,4,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.2030036564453495,4.221611663719927,7.826648021762303,4.046009555190989,8.482548088110043,4.402623695965646,8.334601848341345,5.6419561628591985,7.295301906653541,4.166782323295447,7.619518037717163,3.9905135660207405,8.50284549131743,4.4282849938623725,8.164205572960244,5.575351719786372
30,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.87001958733779,8.253275191785013,15.21387584975576,8.314076442660042,15.319976531280997,8.534277869643786,14.177800335154854,8.877150936692566,12.948880152734066,8.24506234613936,14.780286139721591,8.278809053537861,15.155734418248555,8.535724977189943,14.088479636349565,9.045246696578099
30,4,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.653817175352351,7.8015123112685405,14.290522836957082,9.606497710292468,16.211597059370455,8.225153919440814,14.26436041327473,8.729797908618725,13.729436244181091,7.844204224426242,13.833501816349331,9.296065484673928,15.89436208551873,8.46345898559818,14.20926633323716,8.881456604420956
30,4,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.842069735333437,8.469302168546635,15.357200868932798,8.992359840149966,15.911149367122775,9.260628799968657,16.279681073022683,9.92416471133964,13.884689816257842,8.49764834215718,15.010545370758193,8.465208272470457,15.971138989678284,9.360714749299214,16.156753906447875,10.153735158715048
660,4,1,0.02,0.0,0.0,0.8724489795918368,0.12626906806902632,0.75,0.4897959183673469,594.4776916446957,487.1962786414324,683.1200406795841,588.8861754208502,550.5684481557071,393.5378493236017,791.4869233515769,810.9765572473369,283.7691756612118,183.7679698299365,307.0071000241711,199.15826189959517,366.6404887185722,192.8966868226505,318.8608589730205,204.88419807113604
660,4,2,0.02,0.0,0.0,0.8571428571428571,0.125,0.75,0.42857142857142855,700.4543129777039,640.4592450796359,764.1412328848402,628.1751628127702,681.0338089342919,555.5898148725062,864.5382248665128,802.1122338060601,327.875730624087,199.51862092653485,321.26158352580643,166.68250402672675,380.0003995778336,220.31974605975134,315.21698949310684,190.37927715604883
660,4,3,0.0,0.0,0.0,0.86,0.13514919948874646,0.75,0.46,1122.4703837101235,1123.3750440537399,726.1274383402496,763.8875580922484,642.5619924267764,627.267139099872,713.6256327072841,855.5396719065217,354.7602808250136,171.08105883420538,303.46625234029506,184.44025978986986,365.1702765486032,206.63316687991062,334.4183535580279,284.19680575482215
