k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,3500,0.95,False,0,10.0,True,0.300458917128708,3.1622776601683795
4,3500,0.95,False,0,10.0,True,1.5404993412022634,3.1622776601683795
4,3500,0.95,False,0,10.0,True,1.7582201381340212,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0333617305352476,3.1622776601683795
4,3500,0.95,False,0,10.0,True,6.352172066984807,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0586764674653608,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0314763493092584,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.2058635322704276,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0360622453345769,3.1622776601683795
4,3500,0.95,False,0,10.0,True,3.123464015585739,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0066299413028758,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.3145824947894056,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.5322954620255795,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.002358246176513,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0124275256539476,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.2048518928162794,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.1425253353663507,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0007028579861376,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.4770593255128332,3.1622776601683795
4,3500,0.95,False,0,10.0,True,4.36225463644746e-05,3.1622776601683795
4,3500,0.95,False,0,10.0,True,31.96494266779804,3.1622776601683795
4,3500,0.95,False,0,10.0,True,11.720451758550794,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0267863497471125,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.5149312075456862,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0852957165007239,3.1622776601683795
4,3500,0.95,False,0,10.0,True,3.048244902387978,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.2599254536412303,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.1525397664644288,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0355784188008243,3.1622776601683795
4,3500,0.95,False,0,10.0,True,2.3530442411906254,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.6892971278048634,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.2847957194294679,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0797014592897369,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.464779869283447,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0636251714108766,3.1622776601683795
4,3500,0.95,False,0,10.0,True,1.0015303882416458,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.8276384646319404,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.0710129903779375,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.1246992510588711,3.1622776601683795
4,3500,0.95,False,0,10.0,True,0.3708172238204881,3.1622776601683795
