k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,1000,0.95,False,0,10.0,True,0.0180911997912858,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.5618703071715743,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0006534551069989,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0325287039994606,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0109626983417001,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0193385160476644,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0884073223883206,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0914844135111536,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0316280710083987,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0053480935292995,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0143553063871877,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0018646067089633,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0929627945487334,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.002358246176513,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0294244648074482,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0132493902430733,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1071755067237418,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0013250351061886,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1068225942075926,3.1622776601683795
4,1000,0.95,False,0,10.0,True,4.3622546378685456e-05,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.4845900621491239,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0171082192519236,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0184984297062271,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0052482363390424,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1338102751146266,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0256348810570159,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0670787981079712,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0167878034228294,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0294448283003276,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0704567848602977,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.031244366641232,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0293801232940325,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0117736642254726,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.164206970257041,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0408901419176004,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1083607523831133,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0155244185739054,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0249996400341956,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0042779605506666,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0339619012547913,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0057197567175961,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0011586159024474,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0395640076575318,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0202621131300446,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0252995088085867,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0067080198511888,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0761662601772457,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0834312348891046,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0267093497832604,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0710476988109007,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0031796030399533,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0250209764042388,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0120056002507027,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0003590811699893,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0007788935160135,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0836929945387936,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.059604603341711,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0051907859264019,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0163315781403383,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0179652385159272,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.025180392761726,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0012058285873735,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.029439731782304,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0160888619233787,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0932843778752499,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0315159723030973,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0320608435808367,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0758009726020674,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.3470142313954056,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0533948530989221,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0323787104705388,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0389436391819835,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.020161220518716,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0399468621669854,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0071399899722877,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0146612012507176,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0045608008144029,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0139523514536961,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0377197660900208,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0409462546051884,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0078037800482348,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0381525165803324,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0415782479006252,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0184210588391664,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0784490663505579,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0273325688429828,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0126878241254786,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.013060821343835,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0333586832354058,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0369369734718674,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0083235077286047,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0995600323181093,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0017651965176028,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.060727814549266,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0104788529402526,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0129549961303894,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.2881700292482065,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.096448142100761,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0925142454656224,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0575383494732264,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0101009831754765,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1128935504490442,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1707239573786694,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0620575170187223,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1111860683167762,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0046004394827878,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0177520522484506,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0180090133529979,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0143465804455047,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0208503805728526,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0155921385496498,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0150533329527604,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0088956174229082,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0050280713303436,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0092759247171088,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0024148500710907,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0539511423846903,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0630828261222404,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0486057296390356,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0115768609390656,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.032109501409689,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0116178616755746,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0164659063997216,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0388443655493517,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.3449094409685216,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0014459324227971,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.012323430623482,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0225287987351237,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0190657069220709,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0336496684484188,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0149129813919399,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0006528865327197,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0571985039842246,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0599572867146562,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0169601793704003,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0044876154891566,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0432720390911072,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0377396474403539,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0479347078863554,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0127695344398546,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0365906614648281,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0008939978571333,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0057407377325802,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.001881910402453,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.2262930406710381,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0097828899293617,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0352866143343248,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.1054078348716274,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0034986678607253,3.1622776601683795
4,1000,0.95,False,0,10.0,True,0.0051907771113732,3.1622776601683795
4,1000,0.95,False,0,100.0,True,0.0250820632315864,10.0
4,1000,0.95,False,0,100.0,True,0.1217699356353279,10.0
4,1000,0.95,False,0,100.0,True,0.0339953007561462,10.0
4,1000,0.95,False,0,100.0,True,0.0130344804813375,10.0
4,1000,0.95,False,0,100.0,True,0.0834873408987491,10.0
4,1000,0.95,False,0,100.0,True,0.0659451884768813,10.0
4,1000,0.95,False,0,100.0,True,0.0298513378745894,10.0
4,1000,0.95,False,0,100.0,True,0.0811062310181114,10.0
4,1000,0.95,False,0,100.0,True,0.19290516629178,10.0
4,1000,0.95,False,0,100.0,True,0.0603509067504717,10.0
4,1000,0.95,False,0,100.0,True,0.0842177178610086,10.0
4,1000,0.95,False,0,100.0,True,0.0520898972365273,10.0
4,1000,0.95,False,0,100.0,True,0.1205207833918962,10.0
4,1000,0.95,False,0,100.0,True,0.0384963251661076,10.0
4,1000,0.95,False,0,100.0,True,0.4826183858568527,10.0
4,1000,0.95,False,0,100.0,True,0.2238285564811235,10.0
4,1000,0.95,False,0,100.0,True,0.2268158438039194,10.0
4,1000,0.95,False,0,100.0,True,0.0106225863136586,10.0
4,1000,0.95,False,0,100.0,True,0.0926569138923838,10.0
4,1000,0.95,False,0,100.0,True,0.0449883102520436,10.0
4,1000,0.95,False,0,100.0,True,0.0389488730585299,10.0
4,1000,0.95,False,0,100.0,True,0.056858954913423,10.0
4,1000,0.95,False,0,100.0,True,0.0093568308601277,10.0
4,1000,0.95,False,0,100.0,True,0.012503269880284,10.0
4,1000,0.95,False,0,100.0,True,0.0036169372856704,10.0
4,1000,0.95,False,0,100.0,True,0.0225034419823302,10.0
4,1000,0.95,False,0,100.0,True,0.0043367589652234,10.0
4,1000,0.95,False,0,100.0,True,0.1187574562797948,10.0
4,1000,0.95,False,0,100.0,True,0.0634222372020616,10.0
4,1000,0.95,False,0,100.0,True,0.0551606709973384,10.0
4,1000,0.95,False,0,100.0,True,0.0413508082465909,10.0
4,1000,0.95,False,0,100.0,True,0.0127563221359139,10.0
4,1000,0.95,False,0,100.0,True,0.2099542856772558,10.0
4,1000,0.95,False,0,100.0,True,0.0643231029613922,10.0
4,1000,0.95,False,0,100.0,True,0.0597351743111147,10.0
4,1000,0.95,False,0,100.0,True,0.0448226022648157,10.0
4,1000,0.95,False,0,100.0,True,0.0964764486444949,10.0
4,1000,0.95,False,0,100.0,True,0.0469863420514116,10.0
4,1000,0.95,False,0,100.0,True,0.0184620351649513,10.0
4,1000,0.95,False,0,100.0,True,0.0551651863609379,10.0
4,1000,0.95,False,0,100.0,True,0.2142836492050293,10.0
4,1000,0.95,False,0,100.0,True,0.044624839978951,10.0
4,1000,0.95,False,0,100.0,True,0.0633963335583871,10.0
4,1000,0.95,False,0,100.0,True,0.0123478423970198,10.0
4,1000,0.95,False,0,100.0,True,0.0569554489210162,10.0
4,1000,0.95,False,0,100.0,True,0.043228841955468,10.0
4,1000,0.95,False,0,100.0,True,0.0250143766126456,10.0
4,1000,0.95,False,0,100.0,True,0.0865219024616976,10.0
4,1000,0.95,False,0,100.0,True,0.0930176660740187,10.0
4,1000,0.95,False,0,100.0,True,0.0380721999259634,10.0
4,1000,0.95,False,0,100.0,True,0.0712638782936991,10.0
4,1000,0.95,False,0,100.0,True,0.0071751818555867,10.0
4,1000,0.95,False,0,100.0,True,0.0675300507369511,10.0
4,1000,0.95,False,0,100.0,True,0.0383081635041602,10.0
