,,over_predict_sources,FN,FP,percent_possible_detections,percent_possible_detections,percent_possible_detections,percent_possible_detections,loc_error_0,loc_error_0,loc_error_1,loc_error_1,loc_error_2,loc_error_2,loc_error_3,loc_error_3,best_loc_error_0,best_loc_error_0,best_loc_error_1,best_loc_error_1,best_loc_error_2,best_loc_error_2,best_loc_error_3,best_loc_error_3
,,mean,mean,mean,mean,std,perc10,cdf1,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
std,num_sources,,,,,,,,,,,,,,,,,,,,,,,
0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.8962652054209167e-11,9.23398890148949e-11,,,,,,,2.8962652054209167e-11,9.23398890148949e-11,,,,,,
0,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.308508704733559e-11,9.045124134433962e-11,4.907937348143746e-11,1.89015306950862e-10,,,,,3.0276250433938404e-11,7.749527024417455e-11,4.598471625514906e-11,1.7905705017765075e-10,,,,
0,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.682825825520498e-11,1.0609758484327193e-10,6.669570526173225e-11,1.6283562588944576e-10,1.0465958595577953e-10,2.3332952815042393e-10,,,2.60779503757626e-11,1.0673001736723326e-10,1.037867635152618e-10,2.8133525088684274e-10,9.70715101842335e-11,2.181769777833278e-10,,
0,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0852408246683923e-10,2.691414157344766e-10,2.9169834621885365e-12,1.216784679958827e-11,4.6677205473525244e-11,1.78176046613465e-10,2.432898327242583e-13,2.914429601086895e-13,1.0802958584585583e-10,2.6428920564688915e-10,3.33517208434866e-12,1.3199705105076795e-11,5.1950238329844454e-11,2.150298261668979e-10,3.0596868193360435e-13,3.98098581865928e-13
15,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.3701145270069945,3.3009425561097814,,,,,,,6.3701145270069945,3.3009425561097814,,,,,,
15,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.027932829050592,3.89631285003605,7.343211283322072,3.6324558427950273,,,,,6.920073063902215,3.7645531740886273,7.30284012280429,3.6605408871082976,,,,
15,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.02159840260308,3.5566311735548153,7.804044233014558,4.16249620423387,7.088923953232296,4.639931819153726,,,7.100508596906712,3.6239842008310603,7.704083116070802,3.9931017756094684,7.122106348210865,4.639106161305414,,
15,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.451552271456339,3.9185681321598964,7.001032603329021,4.411102016536409,7.59184625209031,3.7260294229849564,6.764365255906423,4.441969417507122,6.485084610408447,3.9390626503407353,6.672303078728719,4.149473899924816,7.4826902505143655,3.877693388917587,6.679886319954063,4.53302250233545
30,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,17.869409420308934,13.783594608114683,,,,,,,12.741637573916126,6.602984252365554,,,,,,
30,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.081835602924752,7.801975157438849,14.608011758717721,7.319362606300241,,,,,13.8391722306824,7.524200972107512,14.609045664032562,7.318490792862176,,,,
30,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.304715129671322,7.2288600482854966,15.807303089485744,8.838489375720386,14.207910653003687,9.25378175041425,,,14.199596536038145,7.242424899441026,15.408564454154591,7.986869967049797,14.243267939542012,9.280246207628986,,
30,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.898892195794081,7.830919876998385,13.966046299676284,8.530792729948681,15.226183527326247,7.469177398237808,13.462964686287066,8.820214883204098,12.965895627798648,7.871988636104548,13.342740665574754,8.299378530581373,14.97464590352592,7.762966630981857,13.341109199944633,9.044959747032072
660,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,590.4902769794467,289.5045833721723,,,,,,,281.9190903486149,150.10284896234947,,,,,,
660,2,0.06,0.0,0.0,1.0,0.0,1.0,1.0,442.255206267062,354.1719088461995,443.3618089147542,228.73932358918972,,,,,300.0308131727402,162.86952710207353,332.7060288722135,171.49101325567025,,,,
660,3,0.04,0.0,0.0,0.9930555555555555,0.048112522432468836,1.0,0.9791666666666666,425.9356242468277,275.75684943947545,494.6379137457034,347.95884134488114,430.1910270236103,339.1272524834179,,,317.01294861825534,164.02082807842726,344.36832312755183,182.70800098294362,316.93017272924175,204.39683864953867,,
660,4,0.04,0.0,0.0,0.9114583333333334,0.1208302763125156,0.75,0.6458333333333334,624.7401156361602,570.6155732120984,615.1928571968884,574.6858772928491,450.6832038230411,273.50106955829074,680.7762166704891,479.8832097889882,275.8645178935204,167.14876251605818,286.5419993697637,163.623622976563,344.88522703465253,184.8189926926244,298.75114494350584,198.22911579118337
