id,sensor,file_name,timestamp,global_timestamp,range,y,x
1,6466,/workspace/data2/CCB_2023/acoustics/6466/6466.230413135204.wav,37630.0,2023-04-14 00:19:14,4189.22,-5686.93,5786.0
1,6471,/workspace/data2/CCB_2023/acoustics/6471/6471.230413141022.wav,36508.0,2023-04-14 00:18:50,6387.19,-5686.93,5786.0
1,6473,/workspace/data2/CCB_2023/acoustics/6473/6473.230413151725.wav,32628.0,2023-04-14 00:21:13,10667.56,-5686.93,5786.0
1,6465,/workspace/data2/CCB_2023/acoustics/6465/6465.230413160741.wav,29499.0,2023-04-14 00:19:20,4252.81,-5686.93,5786.0
2,5814,/workspace/data2/CCB_2023/acoustics/5814/5814.230413143145.wav,35688.0,2023-04-14 00:26:33,14641.1,-15212.59,1761.43
2,6476,/workspace/data2/CCB_2023/acoustics/6476/6476.230413145102.wav,34526.0,2023-04-14 00:26:27,16013.6,-15212.59,1761.43
2,5815,/workspace/data2/CCB_2023/acoustics/5815/5815.230413154659.wav,31154.0,2023-04-14 00:26:13,17751.86,-15212.59,1761.43
2,6469,/workspace/data2/CCB_2023/acoustics/6469/6469.230413163251.wav,28420.0,2023-04-14 00:26:31,10456.35,-15212.59,1761.43
3,5818,/workspace/data2/CCB_2023/acoustics/5818/5818.230413124915.wav,41948.0,2023-04-14 00:28:23,6985.62,-7711.37,-631.35
3,6465,/workspace/data2/CCB_2023/acoustics/6465/6465.230413160741.wav,30072.0,2023-04-14 00:28:53,10944.03,-7711.37,-631.35
3,6469,/workspace/data2/CCB_2023/acoustics/6469/6469.230413163251.wav,28547.0,2023-04-14 00:28:38,8946.92,-7711.37,-631.35
3,6476,/workspace/data2/CCB_2023/acoustics/6476/6476.230413145102.wav,34651.0,2023-04-14 00:28:32,13417.32,-7711.37,-631.35
4,5816,/workspace/data2/CCB_2023/acoustics/5816/5816.230413131334.wav,40509.0,2023-04-14 00:28:43,6523.68,-14539.35,-1669.29
4,6470,/workspace/data2/CCB_2023/acoustics/6470/6470.230413133247.wav,39357.0,2023-04-14 00:28:44,7872.68,-14539.35,-1669.29
4,6471,/workspace/data2/CCB_2023/acoustics/6471/6471.230413141022.wav,37084.0,2023-04-14 00:28:26,12075.93,-14539.35,-1669.29
4,6473,/workspace/data2/CCB_2023/acoustics/6473/6473.230413151725.wav,32971.0,2023-04-14 00:26:56,21133.42,-14539.35,-1669.29
4,6465,/workspace/data2/CCB_2023/acoustics/6465/6465.230413160741.wav,29946.0,2023-04-14 00:26:47,15718.32,-14539.35,-1669.29
4,6472,/workspace/data2/CCB_2023/acoustics/6472/6472.230413165715.wav,26965.0,2023-04-14 00:26:40,16613.04,-14539.35,-1669.29
5,5815,/workspace/data2/CCB_2023/acoustics/5815/5815.230413154659.wav,31280.0,2023-04-14 00:28:19,11578.74,9068.79,3673.78
5,6472,/workspace/data2/CCB_2023/acoustics/6472/6472.230413165715.wav,27088.0,2023-04-14 00:28:43,9100.16,9068.79,3673.78
5,6473,/workspace/data2/CCB_2023/acoustics/6473/6473.230413151725.wav,33096.0,2023-04-14 00:29:01,14939.32,9068.79,3673.78
6,6472,/workspace/data2/CCB_2023/acoustics/6472/6472.230413165715.wav,28405.0,2023-04-14 00:50:40,9980.83,-6411.91,12259.98
6,5814,/workspace/data2/CCB_2023/acoustics/5814/5814.230413143145.wav,37151.0,2023-04-14 00:50:56,4810.69,-6411.91,12259.98
6,6476,/workspace/data2/CCB_2023/acoustics/6476/6476.230413145102.wav,36030.0,2023-04-14 00:51:31,3300.76,-6411.91,12259.98
6,6473,/workspace/data2/CCB_2023/acoustics/6473/6473.230413151725.wav,34413.0,2023-04-14 00:50:58,6418.49,-6411.91,12259.98
